slug,spread,deep_ratio,deep_bid,deep_ask,up_ask,down_ask,winner,mid_price_up
btc-updown-5m-1771720200,0.07,0.9732085492782798,4089.87,112.59,0.17,0.9,Up,0.135
btc-updown-5m-1771725300,0.16000000000000003,0.32909974910343454,232.17,473.3,0.89,0.27,Up,0.81
btc-updown-5m-1771731300,0.30999999999999994,0.8703207400363102,100.67,15.0,0.57,0.74,Up,0.415
btc-updown-5m-1771733100,0.08000000000000007,0.784585926280517,819.5,225.0,0.8,0.28,Down,0.76
btc-updown-5m-1771737900,0.15000000000000002,0.33469493613434487,154.86,307.83,0.84,0.31,Up,0.7649999999999999
btc-updown-5m-1771749000,0.29000000000000004,0.18549299061226687,103.34,453.77,0.46,0.83,Down,0.315
btc-updown-5m-1771750500,0.06,0.8850465764571489,3959.0699999999997,514.22,0.13,0.93,Down,0.1
btc-updown-5m-1771751400,0.09999999999999998,0.6634753321274871,1702.0,863.28,0.89,0.21,Up,0.8400000000000001
btc-updown-5m-1771759200,0.06000000000000005,0.5980660667374658,107.0,71.91,0.79,0.27,Up,0.76
btc-updown-5m-1771777500,0.22,0.9929322451762573,2388.29,17.0,0.31,0.91,Up,0.2
btc-updown-5m-1771777800,0.17000000000000004,1.0,30.0,0.0,0.99,0.18,Up,0.905
btc-updown-5m-1771782000,0.09,0.9772274066979962,6581.48,153.37,0.12,0.97,Down,0.075
btc-updown-5m-1771785600,0.25,0.008663459261526733,45.0,5149.23,0.94,0.31,Up,0.815
btc-updown-5m-1771786500,0.07,0.8777231711554837,2298.52,320.21000000000004,0.16,0.91,Down,0.125
btc-updown-5m-1771789800,0.10999999999999999,0.015401829193714243,68.0,4347.0599999999995,0.92,0.19,Down,0.865
btc-updown-5m-1771795200,0.049999999999999996,0.9761523590574221,9341.29,228.21,0.09,0.96,Down,0.065
btc-updown-5m-1771798200,0.12000000000000001,0.9945161029890459,11579.33,63.85,0.17,0.95,Up,0.11000000000000001
btc-updown-5m-1771801200,0.21,0.0,0.0,99.24000000000001,0.21,0.0,Down,0.105
btc-updown-5m-1771804500,0.09999999999999998,0.12726422230184323,127.86999999999999,876.89,0.38,0.72,Down,0.33
btc-updown-5m-1771817100,0.15999999999999992,0.1529841470177653,80.0,442.92999999999995,0.83,0.33,Up,0.75
btc-updown-5m-1771821000,0.05000000000000002,0.9939568064106322,7628.37,46.379999999999995,0.14,0.91,Down,0.115
btc-updown-5m-1771822500,0.09999999999999998,1.0,44.55,0.0,0.99,0.11,Up,0.94
btc-updown-5m-1771839600,0.09999999999999998,0.5744330994738162,1467.24,1087.0,0.47,0.63,Down,0.42
btc-updown-5m-1771848300,0.48999999999999994,1.0,798.65,0.0,0.94,0.55,Up,0.695
btc-updown-5m-1771857600,0.22999999999999998,0.0,0.0,187.63,0.3,0.93,Down,0.185
btc-updown-5m-1771862700,0.08000000000000007,0.028098537968932046,170.99,5914.38,0.92,0.16,Up,0.88
btc-updown-5m-1771909200,0.4,0.21609088618756692,274.47,995.69,0.87,0.53,Up,0.6699999999999999
btc-updown-5m-1771909800,0.66,0.03774746942951653,38.0,968.69,0.9,0.76,Up,0.5700000000000001
btc-updown-5m-1771958100,0.39,0.9458337565600136,1396.76,79.99,0.48,0.91,Up,0.285
btc-updown-5m-1771971600,0.09999999999999998,1.0,85.42999999999999,0.0,0.99,0.11,Up,0.94
btc-updown-5m-1771971900,0.71,0.31678421499599474,525.96,1134.35,0.84,0.87,Down,0.485
btc-updown-5m-1771972200,0.16999999999999998,0.0,0.0,29.18,0.18,0.99,Down,0.095
btc-updown-5m-1771978800,0.04,0.0,0.0,121.0,0.05,0.99,Down,0.030000000000000002
