slug,entry_price,fee,payout,pnl,depth_ratio_at_signal,depth_ratio_zscore,spread_at_signal,spread_zscore,mid_price_at_signal,snapshot_idx,total_snapshots
btc-updown-5m-1771739100,0.51,0.00017676475330500002,0.0,-0.510176764753305,0.3115942028985507,1.640424144281748,0.010000000000000009,0.0,0.505,68,23307
btc-updown-5m-1771745700,0.54,0.00018492257232000006,0.0,-0.54018492257232,1.7762027011943295,2.494370066503458,0.010000000000000009,0.0,0.535,23,20847
btc-updown-5m-1771753500,0.5,0.0001734375,1.0,0.4998265625,1.3730370229370896,1.836329552584467,0.010000000000000009,-0.4455052507558286,0.495,45,14991
btc-updown-5m-1771766700,0.44,0.00014826104832000006,0.0,-0.44014826104832,1.217817783163118,2.186453472417077,0.020000000000000018,-0.6799989454161867,0.43,27,27404
btc-updown-5m-1771787100,0.51,0.00017676475330500002,1.0,0.48982323524669497,1.8253722184542844,1.5307074975417545,0.010000000000000009,-2.702529855852756,0.505,130,28227
btc-updown-5m-1771790700,0.5,0.0001734375,1.0,0.4998265625,1.9600620395502135,1.836934465313564,0.010000000000000009,-1.2505318017683684,0.495,91,28113
btc-updown-5m-1771791000,0.49,0.00016983280219500004,0.0,-0.490169832802195,1.0598635631978335,3.243896443987024,0.010000000000000009,-2.742860131547709,0.485,90,20576
btc-updown-5m-1771972200,0.51,0.00017676475330500002,0.0,-0.510176764753305,1.9280363404526617,2.757515932365017,0.010000000000000009,-0.8467406314626084,0.505,61,18153
btc-updown-5m-1771986900,0.5,0.0001734375,1.0,0.4998265625,1.4582136582917378,1.5874315873311633,0.010000000000000009,-1.234661995811987,0.495,40,22181
btc-updown-5m-1772170800,0.5,0.0001734375,0.0,-0.5001734375,0.8978859351581605,2.548800686836122,0.010000000000000009,-0.4320493798938571,0.495,54,35080
btc-updown-5m-1772175900,0.52,0.00017979826176,1.0,0.47982020173823997,4.056771317109419,1.64684508363347,0.010000000000000009,-0.3655630775069656,0.515,63,27739
btc-updown-5m-1772214900,0.49,0.00016983280219500004,1.0,0.509830167197805,0.3333190559814965,2.2247354114333038,0.010000000000000009,-0.5180794701316093,0.485,36,40394
btc-updown-5m-1772277000,0.49,0.00016983280219500004,1.0,0.509830167197805,0.37691486035848265,2.0810552652200376,0.010000000000000009,-0.4988787826925559,0.485,40,45356
btc-updown-5m-1772341800,0.54,0.00018492257232000006,0.0,-0.54018492257232,2.865639033863333,1.8434934920345847,0.010000000000000009,0.0,0.535,64,45424
btc-updown-5m-1772355300,0.59,0.000191609364945,1.0,0.40980839063505503,5.396769456681351,1.6277052131013456,0.020000000000000018,0.41885390829169566,0.58,20,57489
btc-updown-5m-1772378100,0.45,0.00015298748437500003,1.0,0.5498470125156251,0.10590157564647336,1.6068768884227516,0.020000000000000018,0.4873397172404482,0.44,19,50914
btc-updown-5m-1772403000,0.51,0.00017676475330500002,1.0,0.48982323524669497,0.45920418559823767,2.6787513423178106,0.010000000000000009,0.0,0.505,119,31354
btc-updown-5m-1772418600,0.54,0.00018492257232000006,1.0,0.45981507742767996,8.17143900657414,3.5702992370071494,0.010000000000000009,-0.5692750425533111,0.535,35,50039
btc-updown-5m-1772420400,0.48,0.00016596762623999998,0.0,-0.48016596762624,0.8576367703884482,1.8373020905060076,0.010000000000000009,0.1414213562373333,0.475,73,35588
btc-updown-5m-1772450700,0.52,0.00017979826176,0.0,-0.52017979826176,1.6031449510397637,2.956120791294469,0.010000000000000009,-2.885699667296028,0.515,263,37355
btc-updown-5m-1772483400,0.49,0.00016983280219500004,1.0,0.509830167197805,0.9671111625350728,2.7018775888945537,0.010000000000000009,-1.5298701883807322,0.485,19,50876
btc-updown-5m-1772505300,0.51,0.00017676475330500002,0.0,-0.510176764753305,1.2909418116376725,3.3160031376130545,0.030000000000000027,-1.2924606552829945,0.495,21,43744
btc-updown-5m-1772538000,0.49,0.00016983280219500004,1.0,0.509830167197805,0.41943453466762326,1.8421819223520517,0.010000000000000009,0.0,0.485,19,64021
btc-updown-5m-1772583000,0.56,0.00018869587968,0.0,-0.56018869587968,2.3467575130794502,2.2914744389484003,0.010000000000000009,0.0,0.555,97,47650
btc-updown-5m-1772589600,0.5,0.0001734375,0.0,-0.5001734375,0.4672225214886291,1.6202389987530075,0.010000000000000009,-2.262741699796952,0.495,24,50772
btc-updown-5m-1772651400,0.5,0.0001734375,1.0,0.4998265625,0.676609769741318,1.7512100121194198,0.010000000000000009,0.0,0.495,111,41727
btc-updown-5m-1772757900,0.51,0.00017676475330500002,1.0,0.48982323524669497,0.7945584996803295,1.9559263582102469,0.010000000000000009,-0.5217491947499507,0.505,44,43920
btc-updown-5m-1772841600,0.54,0.00018492257232000006,0.0,-0.54018492257232,1.2088457782265405,3.26943811415141,0.020000000000000018,0.0,0.53,23,44530
btc-updown-5m-1770935700,0.51,0.00017676475330500002,1.0,0.48982323524669497,0.9010337274392509,3.438676760501732,0.010000000000000009,-0.20207259421636942,0.505,120,21730
btc-updown-5m-1770994500,0.51,0.00017676475330500002,1.0,0.48982323524669497,2.0151081547941323,1.5271722381397577,0.010000000000000009,-0.3785341258916492,0.505,38,40506
btc-updown-5m-1771019700,0.54,0.00018492257232000006,1.0,0.45981507742767996,3.4969306132572706,1.6395342110096314,0.010000000000000009,-0.4181210050035456,0.535,25,21822
btc-updown-5m-1771080300,0.47,0.00016185953788499998,0.0,-0.470161859537885,0.32123153715920366,3.582314590610621,0.009999999999999953,0.0,0.46499999999999997,92,30595
btc-updown-5m-1771197000,0.53,0.00018252245761499997,1.0,0.46981747754238495,8.557321772639693,3.42137902529326,0.0,-1.5397947077242102,0.53,51,30437
